"","year","sex","lower_ci","upper_ci","mean_ex","Country_of_Birth"
"294",1976,"Male",61.6367169274931,62.1577072857844,61.9159403727801,"Outside UK"
"295",1977,"Female",64.5999698961096,65.0523217929397,64.8166588950735,"Outside UK"
"296",1977,"Male",62.2799285161909,62.8106097602713,62.5525947730252,"Outside UK"
"297",1978,"Female",65.6916626571226,66.0783326643554,65.9072174211045,"Outside UK"
"298",1978,"Male",62.3870912304605,63.0726542689424,62.7124669711791,"Outside UK"
"299",1979,"Female",65.9284171801914,66.398446532669,66.1538937321753,"Outside UK"
"300",1979,"Male",63.1926171751475,63.7198130352267,63.44804911423,"Outside UK"
"301",1980,"Female",66.205373043752,66.7614914411618,66.5061785328292,"Outside UK"
"302",1980,"Male",63.3689489676541,64.0317705419918,63.6583288645475,"Outside UK"
"303",1981,"Female",66.8340525781346,67.2957963633977,67.0890116150551,"Outside UK"
"304",1981,"Male",63.7198430463041,64.3655567297765,64.0434500791597,"Outside UK"
"305",1982,"Female",67.2171479295973,67.7324902860074,67.4515969023755,"Outside UK"
"306",1982,"Male",63.701167524398,64.1985730921114,63.9603031908179,"Outside UK"
"307",1983,"Female",67.9902633231341,68.5630645175486,68.3232853181909,"Outside UK"
"308",1983,"Male",63.6723665385336,64.302624560652,64.0336846170609,"Outside UK"
"309",1984,"Female",67.9719702383108,68.5663911799727,68.292504525691,"Outside UK"
"310",1984,"Male",64.4487251082088,65.0975201471828,64.8140998834659,"Outside UK"
"311",1985,"Female",68.2443509336211,68.8859974314281,68.5452990019042,"Outside UK"
"312",1985,"Male",64.6804875457212,65.2400258690381,65.0000638263053,"Outside UK"
"313",1986,"Female",68.411456431416,69.0243709926077,68.7058267580529,"Outside UK"
"314",1986,"Male",64.4884229789685,65.1736019924362,64.776504178015,"Outside UK"
"315",1987,"Female",68.6651905608624,69.3788535921509,69.056689630823,"Outside UK"
"316",1987,"Male",64.5047753473558,65.1923227392544,64.8496098841045,"Outside UK"
"317",1988,"Female",68.9307426327047,69.6330334066136,69.3165352820926,"Outside UK"
"318",1988,"Male",64.9500753880639,65.6112937410713,65.231013941177,"Outside UK"
"319",1989,"Female",69.0095062095491,69.633780860532,69.3680901482723,"Outside UK"
"320",1989,"Male",64.6902778117056,65.4624059632136,65.1020452849201,"Outside UK"
"321",1990,"Female",69.5411436121445,70.2203623449473,69.8761555263393,"Outside UK"
"322",1990,"Male",65.1221983170451,65.7862941802583,65.435838876417,"Outside UK"
"323",1991,"Female",69.416512360163,70.2551576649565,69.8102123944728,"Outside UK"
"324",1991,"Male",64.9923384003488,65.8902059281732,65.4278638449385,"Outside UK"
